company,job_title,linkedin_job_id,location,posted_on,posted_date,work_mode,employment_type,skills
Amazon,"Team Lead , Last Mile",null,"Delhi, Delhi, India",null,null,19 hours ago,19 hours ago,null
Amazon,"Art Director, Digital Studios",null,"Bengaluru, Karnataka, India",null,null,20 hours ago,20 hours ago,null
Amazon,"FinOps Analyst, Accounts Payable",null,"Hyderabad, Telangana, India",null,null,6 hours ago,6 hours ago,null
Amazon,"Team Lead, Last mile",null,Mumbai Metropolitan Region,null,null,20 hours ago,20 hours ago,null
Amazon,"Account Manager, Global Selling",null,"Bengaluru, Karnataka, India",null,null,13 hours ago,13 hours ago,null
Amazon,"Operations Manager, Operations Manager (INFC)",null,"Gurgaon, Haryana, India",null,null,20 hours ago,20 hours ago,null
Amazon,Team Lead,null,"Faridabad, Haryana, India",null,null,6 hours ago,6 hours ago,null
Amazon,Transportation Representative,null,"Andhra Pradesh, India",null,null,20 hours ago,20 hours ago,null
Amazon,"Financial Analyst, FOAA",null,"Bengaluru, Karnataka, India",null,null,6 hours ago,6 hours ago,null
Amazon,"Central Operations Support Executive, IN External Fulfillment",null,"Karnataka, India",null,null,6 hours ago,6 hours ago,null
Amazon,"WHS Officer, WHS",null,"Jaipur, Rajasthan, India",null,null,20 hours ago,20 hours ago,null
Amazon,"Creative Production Manager, Digital Studios",null,"Bengaluru, Karnataka, India",null,null,20 hours ago,20 hours ago,null
Amazon,"Manager, Account Management",null,"Bengaluru, Karnataka, India",null,null,20 hours ago,20 hours ago,null
Amazon,RME Coordinator,null,"Lucknow, Uttar Pradesh, India",null,null,20 hours ago,20 hours ago,null
Amazon,"Operations Manager, Operations Manager (INFC)",null,"Thane, Maharashtra, India",null,null,20 hours ago,20 hours ago,null
Amazon,"Team Lead, Amazon Transportation Services",null,"Gurgaon, Haryana, India",null,null,13 hours ago,13 hours ago,null
Amazon,"Program Manager, Selection",null,"Bengaluru, Karnataka, India",null,null,20 hours ago,20 hours ago,null
Amazon,ICQA Process Assistant,null,"Bengaluru, Karnataka, India",null,null,19 hours ago,19 hours ago,null
Amazon,ICQA Process Assistant,null,"Bengaluru, Karnataka, India",null,null,19 hours ago,19 hours ago,null
Amazon,ML Data Associate I,null,"Chennai, Tamil Nadu, India",null,null,20 hours ago,20 hours ago,null
Amazon,"Sr. Category Manager, Amazon Business",null,"Bengaluru, Karnataka, India",null,null,13 hours ago,13 hours ago,null
Amazon,"Sr. Marketing & Ops Associate, IN Creator Success",null,"Bengaluru, Karnataka, India",null,null,13 hours ago,13 hours ago,null
Amazon,"FinOps Analyst, Accounts Payable",null,"Hyderabad, Telangana, India",null,null,6 hours ago,6 hours ago,null
Amazon,Responsable d'équipe logistique junior,null,"Saran, Bihar, India",null,null,13 hours ago,13 hours ago,null
Amazon,WHS Officer,null,"Ahmedabad, Gujarat, India",null,null,19 hours ago,19 hours ago,null
